,Date,Open,High,Low,Volume,Close
0,2020-06-01,287.9265628204128,302.99025877350545,287.9265628204128,24384360,300.5114440917969
1,2020-06-02,303.18093302958437,308.37697009232136,299.89169428778814,16562663,304.51568603515625
2,2020-06-03,310.2837673925493,311.09413339993665,300.36839287992825,10386954,302.60888671875
3,2020-06-04,302.13221494293754,307.5666022779991,299.9394083174557,11251266,305.04010009765625
4,2020-06-05,310.61744061638166,327.6356217661738,309.9023912327385,30918476,323.1546630859375
5,2020-06-08,331.4969204161399,334.45243472164884,312.0952404709913,16481649,318.0539855957031
6,2020-06-09,320.3421128782889,327.96930604205767,313.52531480725713,14926832,316.7192077636719
7,2020-06-10,315.6704767185039,316.0518305743182,306.9945382954162,17218883,308.9013366699219
8,2020-06-11,306.9945343177311,308.42463308008075,296.5071433938334,13906684,298.55694580078125
9,2020-06-12,286.0197593627515,305.5167845974862,286.0197593627515,17557885,302.7995910644531
10,2020-06-15,299.1289995018718,300.3207485038713,288.4986042231233,18581002,291.93084716796875
11,2020-06-16,300.41610330503937,307.5189101139486,287.25917646883124,23441806,294.5527038574219
12,2020-06-17,292.884216861253,300.1300267870411,290.83438550798826,11447023,293.8376159667969
13,2020-06-18,293.8376298626066,304.3250205195462,292.78888497782606,11369278,303.2762756347656
14,2020-06-19,306.04113232738456,310.66512410219656,302.5135437745341,15134288,305.6120910644531
15,2020-06-22,304.8493884725452,312.71493172476875,303.51463543670917,11031275,310.5221252441406
16,2020-06-23,312.4289290197362,317.95863273344844,310.95114280464384,12545056,316.5285339355469
17,2020-06-24,320.91418368458056,322.39194083931056,309.6163970939365,20782642,310.8558044433594
18,2020-06-25,306.9945290323604,312.1428786690959,306.0411298738748,11345653,308.04327392578125
19,2020-06-26,310.6174422488102,314.57407213544286,307.51889490340596,9706333,308.7583312988281
20,2020-06-29,307.94793473946584,310.8081322757457,297.5558895100691,11961133,305.89813232421875
21,2020-06-30,308.0432820224947,321.9152285049017,308.0432820224947,36523647,311.47552490234375
